time="2024-01-30 14:04:17" level=info Agent= Hostname=LAPTOP-FH0DMLT2 Ip=127.0.0.1 Method=GET datasize=0 path=/ws/sensor spendtime="16062 ms" status=200
time="2024-01-30 17:49:29" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=373 path="/api/v1/data/getBySN?sn=%E5%95%8A%EF%BC%9F" spendtime="0 ms" status=200
time="2024-01-30 17:49:34" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=373 path="/api/v1/data/getBySN?sn=J" spendtime="1 ms" status=200
time="2024-01-30 17:51:59" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="44 ms" status=200
time="2024-01-30 17:52:19" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=1156 path="/api/v1/project/getByName?name=%E7%AC%AC" spendtime="1 ms" status=200
time="2024-01-30 17:52:31" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=597 path="/api/v1/project/getByName?name=%E4%B8%80" spendtime="1 ms" status=200
time="2024-01-30 17:55:37" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="41 ms" status=200
time="2024-01-30 17:55:53" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=68 path="/api/v1/data/getBySN?sn=J" spendtime="3 ms" status=200
time="2024-01-30 17:55:59" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=68 path="/api/v1/data/getBySN?sn=JC09" spendtime="0 ms" status=200
time="2024-01-30 17:56:05" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=68 path="/api/v1/data/getBySN?sn=JC09" spendtime="1 ms" status=200
time="2024-01-30 17:57:04" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="40 ms" status=200
time="2024-01-30 17:57:16" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4572 path="/api/v1/data/getBySN?sn=JC09" spendtime="2 ms" status=200
time="2024-01-30 17:57:23" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=49 path="/api/v1/data/getBySN?sn=%E4%B8%BA" spendtime="1 ms" status=200
time="2024-01-30 17:58:07" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=375 path="/api/v1/data/getBySN?sn=%E4%B8%BA%E4%BB%80%E4%B9%88" spendtime="1 ms" status=200
